game_pk,at_bat_number,pitch_number,season,game_type,official_date,level,has_abs_challenges,inning,inning_topbot,balls,strikes,outs_when_up,batter,pitcher,fielder_2,stand,p_throws,pitch_type,release_speed,plate_x,plate_z,sz_top,sz_bot,description,play_id,delta_run_exp,challenged,review_level,challenge_team_id,challenger_id,challenger_role,tokens_remaining_before,call_original,call_final,is_overturned
700000,1,1,2022,S,2022-05-10,mlb,false,1,Top,0,0,0,600000,500000,450000,L,L,FF,88.0,-0.9,1.4,3.3,1.52,called_strike,00000000-0000-4000-8000-000000000000,-0.2,false,,,,,,,,
700007,2,2,2022,R,2022-05-11,mlb,false,2,Bot,1,1,1,600001,500001,450001,R,R,SL,88.1,-0.8,1.45,3.33,1.54,ball,00000001-0000-4000-8000-000000000001,-0.19,false,,,,,,,,
700014,3,3,2022,R,2022-05-12,mlb,false,3,Top,2,2,2,600002,500002,450002,R,R,CH,88.2,-0.7,1.5,3.36,1.56,blocked_ball,00000002-0000-4000-8000-000000000002,-0.18,false,,,,,,,,
700021,4,4,2022,R,2022-05-13,mlb,false,4,Bot,3,0,0,600003,500003,450003,L,R,CU,88.3,-0.6,1.55,3.39,1.58,foul,00000003-0000-4000-8000-000000000003,-0.17,false,,,,,,,,
700028,5,5,2022,R,2022-05-14,mlb,false,5,Top,0,1,1,600004,500004,450004,R,R,SI,88.4,-0.5,1.6,3.42,1.6,hit_into_play,00000004-0000-4000-8000-000000000004,-0.16,false,,,,,,,,
700035,6,6,2022,R,2022-05-15,mlb,false,6,Bot,1,2,2,600005,500005,450005,R,L,FC,88.5,-0.4,1.65,3.45,1.52,swinging_strike,00000005-0000-4000-8000-000000000005,-0.15,false,,,,,,,,
700042,7,1,2022,R,2022-05-16,mlb,false,7,Top,2,0,0,600006,500006,450006,L,R,FF,88.6,-0.3,1.7,3.48,1.54,called_strike,00000006-0000-4000-8000-000000000006,-0.14,false,,,,,,,,
700049,8,2,2022,R,2022-05-17,mlb,false,8,Bot,3,1,1,600007,500007,450007,R,R,SL,88.7,-0.2,1.75,3.3,1.56,ball,00000007-0000-4000-8000-000000000007,-0.13,false,,,,,,,,
700056,9,3,2022,R,2022-05-18,mlb,false,9,Top,0,2,2,600008,500008,450008,R,R,CH,88.8,-0.1,1.8,3.33,1.58,blocked_ball,00000008-0000-4000-8000-000000000008,-0.12,false,,,,,,,,
700063,1,4,2022,R,2022-05-19,mlb,false,1,Bot,1,0,0,600009,500009,450009,L,R,CU,88.9,0.0,1.85,3.36,1.6,foul,00000009-0000-4000-8000-000000000009,-0.11,false,,,,,,,,
700070,2,5,2022,R,2022-05-20,mlb,false,2,Top,2,1,1,600010,500010,450010,R,L,SI,89.0,0.1,1.9,3.39,1.52,hit_into_play,00000010-0000-4000-8000-000000000010,-0.1,false,,,,,,,,
