inn_band,lev,cnt,n,g_med,pstar_t2,pstar_t1
1-3,high,PA-ending,23105,0.0275232195854187,0.2164269257635682,0.33703065342999067
1-3,high,count-changing,19407,0.01635688543319702,0.32100444034746795,0.46570278537706405
1-3,low,PA-ending,1542,0.0024653077125549316,0.6336710897545074,0.7551361677511756
1-3,low,count-changing,21334,0.0033959150314331055,0.6580187557132902,0.7780233170970805
1-3,mid,PA-ending,5932,0.009413838386535645,0.42074434065593574,0.5696941782234849
1-3,mid,count-changing,46503,0.00820988416671753,0.4659106600762124,0.6140362811716229
4-6,high,PA-ending,18111,0.028120458126068115,0.16530653407001478,0.27571361512737486
4-6,high,count-changing,18836,0.01743072271347046,0.25939457504218094,0.4041437477357965
4-6,low,PA-ending,5201,0.0016567260026931763,0.5215934701222102,0.6644332296118137
4-6,low,count-changing,32764,0.001999497413635254,0.6056539678442001,0.7395614681634792
4-6,mid,PA-ending,5762,0.008579432964324951,0.31233797363552296,0.469540521522686
4-6,mid,count-changing,33570,0.008123278617858887,0.4019539997140393,0.5636244445672189
7-8,high,PA-ending,9342,0.03346586227416992,0.09147124687984842,0.1810233517707509
7-8,high,count-changing,13164,0.01983514428138733,0.17282745541824765,0.3094107138427028
7-8,low,PA-ending,6909,0.0010852813720703125,0.40067752640196913,0.5709064103421855
7-8,low,count-changing,31314,0.0011216998100280762,0.5215142159944892,0.6860833020667435
7-8,mid,PA-ending,4018,0.008289068937301636,0.20557931432745777,0.35326299378754217
7-8,mid,count-changing,13021,0.00788716971874237,0.29033623916943896,0.4627487333427878
9+,high,PA-ending,4177,0.050347983837127686,0.03260939863080399,0.07999949452195808
9+,high,count-changing,8065,0.024207592010498047,0.0807379256540442,0.16979204690884075
9+,low,PA-ending,3082,0.0006359796971082687,0.28338583810366336,0.5003577495627408
9+,low,count-changing,11794,0.0004490017890930176,0.36650433314496456,0.5870055428683504
9+,mid,PA-ending,1016,0.0077721476554870605,0.06590050867105907,0.19587533207241603
9+,mid,count-changing,3896,0.00843142718076706,0.13921194880082613,0.2959203380860171
