game_pk,level,season,official_date,at_bat_number,n_slots,n_no_pitch,n_no_pitch_numbered,n_no_pitch_unnumbered,call_codes
823081,mlb,2026,2026-03-26,83,4,4,4,0,VB
823812,mlb,2026,2026-03-26,32,5,1,1,0,AC
823812,mlb,2026,2026-03-26,37,4,4,4,0,VB
823974,mlb,2026,2026-03-26,4,3,1,0,1,none
824218,mlb,2026,2026-03-26,23,4,4,4,0,VB
823243,mlb,2026,2026-03-27,4,5,1,1,0,AC
822838,mlb,2026,2026-03-28,89,4,4,4,0,VB
822838,mlb,2026,2026-03-28,96,4,4,4,0,VB
823161,mlb,2026,2026-03-28,76,4,3,3,0,VB
823161,mlb,2026,2026-03-28,83,5,1,1,0,AC
823241,mlb,2026,2026-03-28,9,11,1,0,1,none
823811,mlb,2026,2026-03-28,65,7,1,0,1,none
823973,mlb,2026,2026-03-28,51,6,1,1,0,VP
824213,mlb,2026,2026-03-28,55,4,3,3,0,VB
822837,mlb,2026,2026-03-29,41,4,1,1,0,AC
824215,mlb,2026,2026-03-29,7,5,1,1,0,VP
824215,mlb,2026,2026-03-29,73,4,4,4,0,VB
824215,mlb,2026,2026-03-29,76,4,4,4,0,VB
824538,mlb,2026,2026-03-29,70,4,1,1,0,VB
824864,mlb,2026,2026-03-29,63,4,4,4,0,VB
822834,mlb,2026,2026-03-30,17,5,1,0,1,none
822834,mlb,2026,2026-03-30,32,5,1,1,0,VP
823080,mlb,2026,2026-03-30,7,8,1,0,1,none
823080,mlb,2026,2026-03-30,65,4,4,4,0,VB
823320,mlb,2026,2026-03-30,50,4,4,4,0,VB
823809,mlb,2026,2026-03-30,61,4,2,2,0,VB
824702,mlb,2026,2026-03-30,42,7,1,1,0,VP
825108,mlb,2026,2026-03-30,64,7,2,0,2,none
822836,mlb,2026,2026-03-31,69,4,4,4,0,VB
823077,mlb,2026,2026-03-31,56,4,4,4,0,VB
823807,mlb,2026,2026-03-31,58,4,4,4,0,VB
823888,mlb,2026,2026-03-31,57,4,1,1,0,VP
824699,mlb,2026,2026-03-31,35,4,4,4,0,VB
824942,mlb,2026,2026-03-31,12,4,1,0,1,none
825107,mlb,2026,2026-03-31,7,3,1,0,1,none
822835,mlb,2026,2026-04-01,59,5,1,0,1,none
822835,mlb,2026,2026-04-01,74,4,4,4,0,VB
823078,mlb,2026,2026-04-01,81,4,4,4,0,VB
824133,mlb,2026,2026-04-02,56,4,2,2,0,VB
825105,mlb,2026,2026-04-02,12,7,1,1,0,VP
822758,mlb,2026,2026-04-03,53,2,1,1,0,VP
823568,mlb,2026,2026-04-03,19,2,1,1,0,VP
823732,mlb,2026,2026-04-03,77,7,1,1,0,VP
824056,mlb,2026,2026-04-03,16,5,1,1,0,VP
824056,mlb,2026,2026-04-03,68,4,4,4,0,VB
824621,mlb,2026,2026-04-03,72,4,4,4,0,VB
825026,mlb,2026,2026-04-03,41,4,1,1,0,VP
825103,mlb,2026,2026-04-03,46,5,1,1,0,VP
822757,mlb,2026,2026-04-04,80,7,1,1,0,VP
823404,mlb,2026,2026-04-04,78,4,4,4,0,VB
823569,mlb,2026,2026-04-04,73,4,3,3,0,VB
824134,mlb,2026,2026-04-04,22,6,1,1,0,VP
824134,mlb,2026,2026-04-04,53,4,3,3,0,VB
824134,mlb,2026,2026-04-04,55,5,3,3,0,VB
824622,mlb,2026,2026-04-04,8,4,4,4,0,VB
824622,mlb,2026,2026-04-04,23,4,1,1,0,AC
825027,mlb,2026,2026-04-04,62,7,1,1,0,VP
822756,mlb,2026,2026-04-05,30,3,1,1,0,AC
823566,mlb,2026,2026-04-05,8,4,1,1,0,VP
823566,mlb,2026,2026-04-05,82,4,4,4,0,VB
823729,mlb,2026,2026-04-05,51,2,1,0,1,none
824053,mlb,2026,2026-04-05,94,4,4,4,0,VB
824131,mlb,2026,2026-04-05,69,4,4,4,0,VB
824781,mlb,2026,2026-04-05,7,7,1,1,0,VP
824781,mlb,2026,2026-04-05,17,3,1,1,0,AC
825025,mlb,2026,2026-04-05,96,4,4,4,0,VB
825102,mlb,2026,2026-04-05,55,4,4,4,0,VB
822918,mlb,2026,2026-04-06,49,4,1,1,0,AC
822918,mlb,2026,2026-04-06,59,4,4,4,0,VB
824052,mlb,2026,2026-04-06,61,6,1,1,0,VP
824376,mlb,2026,2026-04-06,74,4,4,4,0,VB
824456,mlb,2026,2026-04-06,69,4,4,4,0,VB
822754,mlb,2026,2026-04-07,78,4,3,3,0,VB
822754,mlb,2026,2026-04-07,82,5,1,1,0,VP
822831,mlb,2026,2026-04-07,31,3,1,0,1,none
822831,mlb,2026,2026-04-07,68,4,4,4,0,VB
822916,mlb,2026,2026-04-07,26,7,1,1,0,VP
823727,mlb,2026,2026-04-07,33,5,1,1,0,VP
823887,mlb,2026,2026-04-07,79,4,4,4,0,VB
822833,mlb,2026,2026-04-08,56,4,4,4,0,VB
823234,mlb,2026,2026-04-08,63,5,1,1,0,VP
