"order","block","row_id","rule","unit","y2022","y2023","y2024","y2025","y2026","total","expected","note"
1,"regime","R_spring_start","spring training start (sportId=1)","date","2022-02-27","2023-02-24","2024-02-22","2025-02-20","2026-02-20",,"SOP table: 02-27 | 02-24 | 02-22 | 02-20 | 02-20","matches the SOP table in every season"
2,"regime","R_spring_end","spring training end (sportId=1)","date","2022-04-06","2023-03-28","2024-03-26","2025-03-25","2026-03-24",,"SOP table: 04-06 | 03-28 | 03-26 | 03-25 | 03-24","matches the SOP table in every season"
3,"regime","R_regular_start","regular season start (sportId=1)","date","2022-04-07","2023-03-30","2024-03-20","2025-03-18","2026-03-25",,"SOP table: 04-07 | 03-30 | 03-20 | 03-18 | 03-25","matches the SOP table in every season"
4,"regime","R_regular_end","regular season end (sportId=1)","date","2022-10-05","2023-10-02","2024-09-30","2025-09-28","2026-09-27",,"SOP table: 10-05 | 10-02 | 09-30 | 09-28 | not written under R/","matches the SOP table 2022-2025; the 2026 cell is compared with config/seal.yml"
5,"regime","R_asb_last","All-Star break: last day of the first half","date","2022-07-17","2023-07-09","2024-07-14","2025-07-14","2026-07-14",,"SOP table: 07-17 | 07-09 | 07-14 | 07-14 | 07-14","matches the SOP table in every season"
6,"regime","R_asb_first","All-Star break: first day of the second half","date","2022-07-21","2023-07-14","2024-07-19","2025-07-18","2026-07-19",,"SOP table: 07-21 | 07-14 | 07-19 | 07-18 | 07-19","matches the SOP table in every season"
7,"regime","R_post_start","postseason start (sportId=1)","date","2022-10-07","2023-10-03","2024-10-01","2025-09-30","2026-09-28",,"SOP table: 10-07 | 10-03 | 10-01 | 09-30 | not written under R/","matches the SOP table 2022-2025; the 2026 cell is published as fetched"
8,"regime","R_post_end","postseason end (sportId=1)","date","2022-11-05","2023-11-01","2024-10-30","2025-11-01","2026-10-31",,"SOP table: 11-05 | 11-01 | 10-30 | 11-01 | not written under R/","matches the SOP table 2022-2025; the 2026 cell is published as fetched"
9,"regime","R_aaa_regular_start","AAA regular season start (sportId=11)","date",,"2023-03-31","2024-03-29","2025-03-28",,,"SOP: 2023 03-31 | 2024 03-29 | 2025 03-28","AAA is not in P0 or P1; fetched for the W3.9 AAA arm"
10,"regime","R_aaa_regular_end","AAA regular season end (sportId=11)","date",,"2023-09-24","2024-09-22","2025-09-21",,,"SOP: 2023 09-24 | 2024 09-22 | 2025 09-21","AAA is not in P0 or P1; fetched for the W3.9 AAA arm"
11,"regime","R_label","regime label in the warehouse (five-level season factor, three regimes)","label","pre_buffer","pre_buffer","pre_buffer","buffer_2025","abs_2026",,"pre_buffer 2022-2024 | buffer_2025 | abs_2026","season enters the model as a five-level factor; regime contrasts are linear combinations of its levels"
12,"regime","R_first_day","first official date with a regular-season pitch in the open lake","date","2022-04-07","2023-03-30","2024-03-20","2025-03-18","2026-03-25",,"",""
13,"regime","R_last_day","last official date with a regular-season pitch in the open lake","date","2022-10-05","2023-10-01","2024-09-30","2025-09-28","2026-09-21",,"","2026 stops at the last open day; later days are held out"
14,"sample","S_all","every Statcast pitch in the open lake, MLB","pitches","710210","720684","711899","712528","691287","3546608","","main_marts.v_pitch_open"
15,"sample","X_game_type","excluded: game_type != ""R""","pitches","0","0","0","0","0","0","","the filter is on game_type, never on date; the schedule is pulled with gameType=R, so the lake holds no other game type"
16,"sample","X_postseason","excluded: postseason held out of the primary","pitches","0","0","0","0","0","0","","separate pre-registered secondary; 2022-2025 postseason pitches are not in the lake and the 2026 postseason is held out"
17,"sample","X_automatic_ball","excluded: automatic_ball","pitches","1670","2437","2249","2348","2147","10851","",""
18,"sample","X_pitchout","excluded: pitchout","pitches","40","46","54","54","39","233","",""
19,"sample","X_hit_by_pitch","excluded: hit_by_pitch","pitches","2046","2112","2020","1928","2048","10154","",""
20,"sample","X_automatic_strike","excluded: automatic_strike","pitches","0","302","138","96","87","623","","not named in SOP W3.5; a pitch-clock strike is not a called pitch"
21,"sample","X_not_taken","excluded: swung at, bunted or put in play","pitches","339309","341264","340421","339177","328505","1688676","","not a called pitch; P0 is called pitches only"
22,"sample","C_called","called pitches: called_strike, ball, blocked_ball","pitches","367145","374523","367017","368925","358461","1836071","about 370k per season, about 1.85M in all",""
23,"sample","X_blank_coordinate","excluded: blank re-projected coordinate (plate_x_mid or plate_z_mid null)","pitches","223","139","144","82","196","784","",""
24,"sample","X_position_player","excluded: pitches thrown by position players","pitches","1038","933","749","1177","1159","5056","","203 pitchers who held a position other than P or TWP in the season they pitched; release speed median 58.5 mph; courtesy strikes on slow lobs, which TapToChallenge also excludes"
25,"sample","K_blocked_ball","retained: blocked_ball kept as a genuine ball call","pitches","16010","15875","14977","15083","14318","76263","","counted, not removed; it stays in P0 and P1 as a ball"
26,"sample","P0","P0: called pitches, game_type R, official date 2022-01-01 to the last open day, non-null re-projected coordinates, position players removed","pitches","365884","373451","366124","367666","357106","1830231","about 1.85M","the framing surface's sample"
27,"sample","X_not_abs_measured","excluded from P1: batter height not ABS-measured","pitches","148681","102115","63941","27566","1","342304","","height_source people_offset; roster height plus offset covers these rows"
28,"sample","P1","P1: P0 restricted to the ABS-measured-height cohort","pitches","217203","271336","302183","340100","357105","1487927","about 1.20M","SOP W3.5 names P1 the primary sample and the <<N_CALLED>> count; DECISIONS.md D-R0-02 (owner answer) makes roster height plus offset primary and the ABS-measured cohort a robustness arm"
29,"band","B_d8_P0","P0 rows with |d| <= 8.0 in on the harmonised zone (surface fit)","pitches","226561","233626","227359","232907","233233","1153686","about 240k per season, about 1.2M in all","a surface-fit restriction; the framing model uses the unrestricted sample"
30,"band","B_d8_P0_pct","share of P0 with |d| <= 8.0 in","percent","61.92","62.56","62.10","63.35","65.31","63.03","65.9 (2024) | 66.9 (2025) | 64.8 (2026)","d is the ball-centre distance from R/lib/zone.R signed_edge_in on the mid-plate plane, no radius"
31,"band","B_d8_P1","P1 rows with |d| <= 8.0 in","pitches","134251","168866","186878","215197","233232","938424","",""
32,"band","B_d3_P0","P0 rows with |d| <= 3.0 in (shadow band)","pitches","96904","100359","98159","100370","102360","498152","about 103k per season","a reporting region and a sensitivity factor, not a filter on P0 or P1"
33,"band","B_d3_P0_pct","share of P0 with |d| <= 3.0 in","percent","26.48","26.87","26.81","27.30","28.66","27.22","27.7 to 28.7",""
34,"band","B_d3_cs_rate","called-strike rate inside |d| <= 3.0 in, P0","percent","78.07","76.86","78.06",,,,"66 to 72","2022-2024 only; the 2025 and 2026 cells stay empty until the prereg-v1 tag, because this is the raw form of the pre-registered shadow_rate"
35,"size","Z_games","games with at least one P0 pitch","games","2429","2430","2429","2430","2342","12060","about 2,430 per full season","2026 runs to the last open day only"
36,"size","Z_per_game","P0 called pitches per game","pitches","150.6","153.7","150.7","151.3","152.5","151.8","152.1",""
37,"cohort","H_abs_measured","P0 rows in the ABS-measured-height cohort (P1)","percent","59.36","72.66","82.54","92.50","100.00","81.30","",""
38,"cohort","H_roster_offset","P0 rows whose batter has a roster height (roster plus offset cohort)","percent","100.00","100.00","100.00","100.00","100.00","100.00","","D-R0-02: this cohort is primary for every season"
39,"panel","U_umpires","home-plate umpires with a P0 pitch","umpires","96","94","90","92","91","114","",""
40,"panel","U_panel","balanced panel: umpires with >= 15 home-plate games in every season 2022-2026","umpires","62","62","62","62","62","62","","CH1-A14 robustness row; controls for crew turnover"
41,"panel","U_panel_P0","P0 rows called by balanced-panel umpires","pitches","266480","283511","272293","276392","261762","1360438","",""
42,"panel","U_panel_P1","P1 rows called by balanced-panel umpires","pitches","158576","205897","224981","255840","261762","1107056","",""
