"game_pk","season","official_date","weekday","has_abs_challenges","n_mj_event","n_mj_play","n_mj_overturned","n_called","n_tracked","n_scored","n_zone_from_batter","zone_top_frac","n_agree","agree","agree_final","format_class","signal_conflict"
721661,2023,"2023-03-31","Friday","FALSE",0,0,0,172,172,172,0,"0.510",172,"1.000000","1.000000","full_abs","FALSE"
721732,2023,"2023-03-31","Friday","FALSE",0,0,0,193,193,193,0,"0.510",168,"0.870466","0.870466","human_called","FALSE"
721807,2023,"2023-03-31","Friday","FALSE",0,0,0,200,200,200,0,"0.510",200,"1.000000","1.000000","full_abs","FALSE"
721957,2023,"2023-03-31","Friday","FALSE",0,0,0,194,194,194,0,"0.510",194,"1.000000","1.000000","full_abs","FALSE"
722652,2023,"2023-03-31","Friday","FALSE",0,0,0,183,183,183,0,"0.510",167,"0.912568","0.912568","human_called","FALSE"
722729,2023,"2023-03-31","Friday","FALSE",0,0,0,162,162,162,0,"0.510",156,"0.962963","0.962963","human_called","FALSE"
722952,2023,"2023-03-31","Friday","FALSE",0,0,0,146,146,146,0,"0.510",135,"0.924658","0.924658","human_called","FALSE"
723026,2023,"2023-03-31","Friday","FALSE",0,0,0,190,190,190,0,"0.510",175,"0.921053","0.921053","human_called","FALSE"
723540,2023,"2023-03-31","Friday","FALSE",0,0,0,200,200,200,0,"0.510",188,"0.940000","0.940000","human_called","FALSE"
723610,2023,"2023-03-31","Friday","FALSE",0,0,0,161,161,161,0,"0.510",152,"0.944099","0.944099","human_called","FALSE"
723684,2023,"2023-03-31","Friday","FALSE",0,0,0,164,164,164,0,"0.510",146,"0.890244","0.890244","human_called","FALSE"
723758,2023,"2023-03-31","Friday","FALSE",0,0,0,193,193,193,0,"0.510",180,"0.932642","0.932642","human_called","FALSE"
725504,2023,"2023-03-31","Friday","FALSE",0,0,0,184,184,184,0,"0.510",172,"0.934783","0.934783","human_called","FALSE"
721507,2023,"2023-04-01","Saturday","FALSE",0,0,0,113,113,113,0,"0.510",113,"1.000000","1.000000","full_abs","FALSE"
721508,2023,"2023-04-01","Saturday","FALSE",0,0,0,128,128,128,0,"0.510",128,"1.000000","1.000000","full_abs","FALSE"
721658,2023,"2023-04-01","Saturday","FALSE",0,0,0,155,155,155,0,"0.510",155,"1.000000","1.000000","full_abs","FALSE"
721731,2023,"2023-04-01","Saturday","FALSE",0,0,0,190,190,190,0,"0.510",166,"0.873684","0.873684","human_called","FALSE"
721802,2023,"2023-04-01","Saturday","FALSE",0,0,0,177,177,177,0,"0.510",177,"1.000000","1.000000","full_abs","FALSE"
721956,2023,"2023-04-01","Saturday","FALSE",0,0,0,204,204,204,0,"0.510",204,"1.000000","1.000000","full_abs","FALSE"
722654,2023,"2023-04-01","Saturday","FALSE",0,0,0,190,190,190,0,"0.510",171,"0.900000","0.900000","human_called","FALSE"
722733,2023,"2023-04-01","Saturday","FALSE",0,0,0,205,205,205,0,"0.510",185,"0.902439","0.902439","human_called","FALSE"
722955,2023,"2023-04-01","Saturday","FALSE",0,0,0,154,154,154,0,"0.510",146,"0.948052","0.948052","human_called","FALSE"
723029,2023,"2023-04-01","Saturday","FALSE",0,0,0,122,122,122,0,"0.510",114,"0.934426","0.934426","human_called","FALSE"
723248,2023,"2023-04-01","Saturday","FALSE",0,0,0,146,146,146,0,"0.510",140,"0.958904","0.958904","human_called","FALSE"
723258,2023,"2023-04-01","Saturday","FALSE",0,0,0,175,175,175,0,"0.510",153,"0.874286","0.874286","human_called","FALSE"
723532,2023,"2023-04-01","Saturday","FALSE",0,0,0,192,192,192,0,"0.510",172,"0.895833","0.895833","human_called","FALSE"
723604,2023,"2023-04-01","Saturday","FALSE",0,0,0,151,151,151,0,"0.510",138,"0.913907","0.913907","human_called","FALSE"
723680,2023,"2023-04-01","Saturday","FALSE",0,0,0,197,197,197,0,"0.510",180,"0.913706","0.913706","human_called","FALSE"
723759,2023,"2023-04-01","Saturday","FALSE",0,0,0,207,180,180,0,"0.510",170,"0.944444","0.944444","human_called","FALSE"
725505,2023,"2023-04-01","Saturday","FALSE",0,0,0,138,138,138,0,"0.510",129,"0.934783","0.934783","human_called","FALSE"
721506,2023,"2023-04-02","Sunday","FALSE",0,0,0,194,194,194,0,"0.510",194,"1.000000","1.000000","full_abs","FALSE"
721652,2023,"2023-04-02","Sunday","FALSE",0,0,0,181,181,181,0,"0.510",181,"1.000000","1.000000","full_abs","FALSE"
721728,2023,"2023-04-02","Sunday","FALSE",0,0,0,199,199,199,0,"0.510",190,"0.954774","0.954774","human_called","FALSE"
721803,2023,"2023-04-02","Sunday","FALSE",0,0,0,187,187,187,0,"0.510",186,"0.994652","0.994652","full_abs","FALSE"
721955,2023,"2023-04-02","Sunday","FALSE",0,0,0,154,154,154,0,"0.510",152,"0.987013","0.987013","human_called","FALSE"
722656,2023,"2023-04-02","Sunday","FALSE",0,0,0,154,154,154,0,"0.510",141,"0.915584","0.915584","human_called","FALSE"
