game_pk,level,season,official_date,side,team_id,max_inning,allotment_playbyplay_max,allotment_end_block,allotment,used_successful,used_failed,remaining,modal_allotment,reason
752340,aaa,2024,2024-03-30,away,534,9,,4,4,0,4,0,3,above_modal_allotment
752938,aaa,2024,2024-03-31,away,484,9,,4,4,1,4,0,3,above_modal_allotment
753015,aaa,2024,2024-03-31,away,533,9,,5,5,1,5,0,3,above_modal_allotment
753165,aaa,2024,2024-04-06,away,512,9,,4,4,4,4,0,3,above_modal_allotment
753538,aaa,2024,2024-04-06,away,568,9,,4,4,2,4,0,3,above_modal_allotment
752108,aaa,2024,2024-04-12,home,342,9,,4,4,1,4,0,3,above_modal_allotment
751738,aaa,2024,2024-04-13,home,102,9,,4,4,0,4,0,3,above_modal_allotment
752934,aaa,2024,2024-04-14,away,445,10,,4,4,1,4,0,3,above_modal_allotment
751956,aaa,2024,2024-04-19,home,400,9,,4,4,1,4,0,3,above_modal_allotment
752929,aaa,2024,2024-04-26,home,416,9,,4,4,0,4,0,3,above_modal_allotment
752705,aaa,2024,2024-04-28,home,568,9,,4,4,1,4,0,3,above_modal_allotment
752924,aaa,2024,2024-04-28,away,556,9,,4,4,2,4,0,3,above_modal_allotment
753148,aaa,2024,2024-05-03,away,541,9,,4,4,0,4,0,3,above_modal_allotment
751948,aaa,2024,2024-05-04,away,2310,9,,4,4,1,4,0,3,above_modal_allotment
751874,aaa,2024,2024-05-05,away,561,9,,4,4,3,4,0,3,above_modal_allotment
752551,aaa,2024,2024-05-05,away,552,9,,4,4,0,4,0,3,above_modal_allotment
753375,aaa,2024,2024-05-10,home,234,9,,4,4,2,4,0,3,above_modal_allotment
753065,aaa,2024,2024-05-17,home,564,9,,4,4,0,4,0,3,above_modal_allotment
753217,aaa,2024,2024-05-17,away,512,9,,5,5,1,5,0,3,above_modal_allotment
752391,aaa,2024,2024-05-18,home,1960,7,,4,4,4,4,0,3,above_modal_allotment
753069,aaa,2024,2024-05-18,away,556,9,,4,4,0,4,0,3,above_modal_allotment
823161,mlb,2026,2026-03-28,away,114,10,,3,3,0,3,0,2,above_modal_allotment
824056,mlb,2026,2026-04-03,away,136,10,,3,3,0,3,0,2,above_modal_allotment
823802,mlb,2026,2026-04-14,away,141,10,,3,3,0,3,0,2,above_modal_allotment
823883,mlb,2026,2026-04-17,away,158,10,,3,3,1,3,0,2,above_modal_allotment
823394,mlb,2026,2026-04-18,home,134,13,,3,3,0,3,0,2,above_modal_allotment
824125,mlb,2026,2026-04-20,away,110,12,,3,3,0,3,0,2,above_modal_allotment
824613,mlb,2026,2026-04-25,away,120,10,,3,3,4,3,0,2,above_modal_allotment
824612,mlb,2026,2026-04-26,home,145,10,,3,3,1,3,0,2,above_modal_allotment
823221,mlb,2026,2026-05-10,home,137,12,,3,3,0,3,0,2,above_modal_allotment
823631,mlb,2026,2026-05-13,home,121,10,,3,3,1,3,0,2,above_modal_allotment
822981,mlb,2026,2026-05-16,home,139,10,,3,3,2,3,0,2,above_modal_allotment
824031,mlb,2026,2026-05-21,home,108,10,,3,3,1,3,0,2,above_modal_allotment
824922,mlb,2026,2026-05-22,away,120,11,,3,3,0,3,0,2,above_modal_allotment
824838,mlb,2026,2026-05-25,away,139,13,,3,3,1,3,0,2,above_modal_allotment
824998,mlb,2026,2026-06-08,home,133,12,,3,3,6,3,0,2,above_modal_allotment
823290,mlb,2026,2026-06-09,away,113,11,,3,3,4,3,0,2,above_modal_allotment
824103,mlb,2026,2026-06-10,away,140,10,,3,3,1,3,0,2,above_modal_allotment
824256,mlb,2026,2026-06-28,away,117,10,,3,3,1,3,0,2,above_modal_allotment
823518,mlb,2026,2026-07-22,home,147,10,,3,3,1,3,0,2,above_modal_allotment
824810,mlb,2026,2026-07-26,home,110,11,,3,3,1,3,0,2,above_modal_allotment
823350,mlb,2026,2026-07-28,home,134,12,,3,3,0,3,0,2,above_modal_allotment
824568,mlb,2026,2026-07-30,away,147,11,,3,3,1,3,0,2,above_modal_allotment
823429,mlb,2026,2026-08-05,away,120,11,,3,3,0,3,0,2,above_modal_allotment
823429,mlb,2026,2026-08-05,home,143,11,,3,3,0,3,0,2,above_modal_allotment
823263,mlb,2026,2026-08-12,away,158,11,,3,3,1,3,0,2,above_modal_allotment
823911,mlb,2026,2026-08-21,away,134,10,,3,3,1,3,0,2,above_modal_allotment
823260,mlb,2026,2026-08-24,away,134,12,,3,3,1,3,0,2,above_modal_allotment
823585,mlb,2026,2026-08-25,home,121,10,,3,3,2,3,0,2,above_modal_allotment
823826,mlb,2026,2026-08-25,away,111,11,,3,3,2,3,0,2,above_modal_allotment
822690,mlb,2026,2026-08-29,away,146,10,,3,3,2,3,0,2,above_modal_allotment
824312,mlb,2026,2026-09-02,away,110,11,,3,3,2,3,0,2,above_modal_allotment
824312,mlb,2026,2026-09-02,home,115,11,,3,3,0,3,0,2,above_modal_allotment
823738,mlb,2026,2026-09-08,home,158,10,,3,3,1,3,0,2,above_modal_allotment
822685,mlb,2026,2026-09-12,home,120,10,,3,3,1,3,0,2,above_modal_allotment
823574,mlb,2026,2026-09-15,home,121,11,,3,3,0,3,0,2,above_modal_allotment
823004,mlb,2026,2026-09-16,away,137,10,,3,3,2,3,0,2,above_modal_allotment
