game_pk,level,season,official_date,n_pitch_level,n_play_level,n_additional,n_challenges,away_used_successful,away_used_failed,home_used_successful,home_used_failed,n_tally,delta,status
751442,aaa,2024,2024-03-29,4,1,0,5,1,2,0,2,5,0,ok
751742,aaa,2024,2024-03-29,6,2,0,8,2,3,2,1,8,0,ok
751970,aaa,2024,2024-03-29,1,1,0,2,0,2,0,0,2,0,ok
752114,aaa,2024,2024-03-29,4,2,0,6,1,1,2,2,6,0,ok
752266,aaa,2024,2024-03-29,7,0,0,7,3,1,2,1,7,0,ok
752342,aaa,2024,2024-03-29,3,1,0,4,0,3,0,1,4,0,ok
752417,aaa,2024,2024-03-29,0,0,0,0,0,0,0,0,0,0,ok
752637,aaa,2024,2024-03-29,2,3,0,5,1,3,0,1,5,0,ok
752720,aaa,2024,2024-03-29,3,3,0,6,1,2,1,2,6,0,ok
752867,aaa,2024,2024-03-29,3,0,0,3,0,1,0,2,3,0,ok
752942,aaa,2024,2024-03-29,3,0,0,3,0,2,1,0,3,0,ok
753016,aaa,2024,2024-03-29,4,3,0,7,2,3,0,2,7,0,ok
753094,aaa,2024,2024-03-29,6,2,0,8,3,3,2,0,8,0,ok
753616,aaa,2024,2024-03-29,3,3,0,6,0,3,1,2,6,0,ok
751441,aaa,2024,2024-03-30,3,2,0,5,0,3,1,1,5,0,ok
751663,aaa,2024,2024-03-30,2,1,0,3,1,1,1,0,3,0,ok
751744,aaa,2024,2024-03-30,4,2,0,6,0,2,1,3,6,0,ok
752116,aaa,2024,2024-03-30,6,2,0,8,1,1,4,2,8,0,ok
752264,aaa,2024,2024-03-30,6,0,0,6,1,3,2,0,6,0,ok
752340,aaa,2024,2024-03-30,4,4,0,8,0,4,2,2,8,0,ok
752416,aaa,2024,2024-03-30,0,1,0,1,1,0,0,0,1,0,ok
752639,aaa,2024,2024-03-30,5,2,0,7,3,2,1,1,7,0,ok
752712,aaa,2024,2024-03-30,5,3,0,8,2,2,2,2,8,0,ok
752868,aaa,2024,2024-03-30,5,1,0,6,3,1,1,1,6,0,ok
752939,aaa,2024,2024-03-30,4,0,0,4,0,2,0,2,4,0,ok
753017,aaa,2024,2024-03-30,8,1,0,9,3,2,2,2,9,0,ok
753087,aaa,2024,2024-03-30,5,2,0,7,2,2,0,3,7,0,ok
753617,aaa,2024,2024-03-30,5,2,0,7,0,3,2,2,7,0,ok
751440,aaa,2024,2024-03-31,1,2,0,3,0,2,0,1,3,0,ok
751666,aaa,2024,2024-03-31,2,1,1,4,0,1,0,3,4,0,ok
