table_name,level,season,metric,column_name,value
main_intermediate.int_called_pitch,,,rows,,1610220
main_intermediate.int_challenge_opportunity,,,rows,,716922
main_intermediate.int_challenge_resolved,,,rows,,12300
main_intermediate.int_pitch,,,rows,,3108070
main_intermediate.int_re288_state,,,rows,,288
main_intermediate.int_regime,,,rows,,18817
main_marts.agg_closed_season_drift,,,rows,,28
main_marts.agg_closed_season_rowcount,,,rows,,476
main_marts.dim_aaa_format,,,rows,,6755
main_marts.dim_batter_season,,,rows,,3189
main_marts.dim_game,,,rows,,18817
main_marts.dim_player,,,rows,,1482
main_marts.dim_umpire_game,,,rows,,18754
main_marts.fct_called_pitch,,,rows,,1610220
main_marts.fct_challenge,,,rows,,12300
main_marts.fct_challenge_opportunity,,,rows,,716922
main_marts.fct_pitch,,,rows,,3108070
main_marts.fct_re288,,,rows,,288
main_marts.fct_team_game_tokens,,,rows,,4684
main_marts.fct_wp_state,,,rows,,83762
main_marts.mart_called_pitches,,,rows,,1610220
main_marts.v_called_pitch_open,,,rows,,1610220
main_marts.v_challenge_open,,,rows,,12300
main_marts.v_opportunity_open,,,rows,,716922
main_marts.v_pitch_open,,,rows,,3108070
main_staging.seed_synthetic_pitches,,,rows,,200
main_staging.stg_abs_challenges,,,rows,,12300
main_staging.stg_abs_leaderboard,,,rows,,0
main_staging.stg_feed_game,,,rows,,2342
main_staging.stg_feed_pitch,,,rows,,691502
main_staging.stg_feed_play,,,rows,,177769
main_staging.stg_feed_player,,,rows,,122494
main_staging.stg_game_official,,,rows,,69069
main_staging.stg_pitch_joined,,,rows,,691502
main_staging.stg_schedule_game,,,rows,,18817
main_staging.stg_statcast_pitches,,,rows,,3108070
main_marts.fct_pitch,mlb,2022,rows,,271672
main_marts.fct_pitch,mlb,2023,rows,,720684
main_marts.fct_pitch,mlb,2024,rows,,711899
main_marts.fct_pitch,mlb,2025,rows,,712528
main_marts.fct_pitch,mlb,2026,rows,,691287
main_marts.fct_called_pitch,mlb,2022,rows,,141294
main_marts.fct_called_pitch,mlb,2023,rows,,374523
main_marts.fct_called_pitch,mlb,2024,rows,,367017
main_marts.fct_called_pitch,mlb,2025,rows,,368925
main_marts.fct_called_pitch,mlb,2026,rows,,358461
main_marts.fct_challenge,aaa,2024,rows,,2132
main_marts.fct_challenge,mlb,2026,rows,,10168
main_marts.fct_challenge_opportunity,mlb,2026,rows,,716922
main_marts.dim_game,aaa,2023,rows,,2255
main_marts.dim_game,aaa,2024,rows,,2250
main_marts.dim_game,aaa,2025,rows,,2250
main_marts.dim_game,mlb,2022,rows,,2430
main_marts.dim_game,mlb,2023,rows,,2430
main_marts.dim_game,mlb,2024,rows,,2430
main_marts.dim_game,mlb,2025,rows,,2430
main_marts.dim_game,mlb,2026,rows,,2342
main_marts.fct_called_pitch,mlb,2022,non_null_pct,plate_x_mid,99.9639
main_marts.fct_called_pitch,mlb,2022,non_null_pct,plate_z_mid,99.9639
main_marts.fct_called_pitch,mlb,2022,non_null_pct,sz_top,99.9766
main_marts.fct_called_pitch,mlb,2022,non_null_pct,sz_bot,99.9766
main_marts.fct_called_pitch,mlb,2022,non_null_pct,fielder_2,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,delta_run_exp,99.9986
main_marts.fct_called_pitch,mlb,2022,non_null_pct,delta_home_win_exp,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,balls,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,strikes,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,outs_when_up,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,inning,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,inning_topbot,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,stand,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,p_throws,100.0000
main_marts.fct_called_pitch,mlb,2022,non_null_pct,zone,99.9766
main_marts.fct_called_pitch,mlb,2023,non_null_pct,plate_x_mid,99.9629
main_marts.fct_called_pitch,mlb,2023,non_null_pct,plate_z_mid,99.9629
main_marts.fct_called_pitch,mlb,2023,non_null_pct,sz_top,99.9632
main_marts.fct_called_pitch,mlb,2023,non_null_pct,sz_bot,99.9632
main_marts.fct_called_pitch,mlb,2023,non_null_pct,fielder_2,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,delta_run_exp,99.9984
main_marts.fct_called_pitch,mlb,2023,non_null_pct,delta_home_win_exp,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,balls,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,strikes,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,outs_when_up,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,inning,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,inning_topbot,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,stand,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,p_throws,100.0000
main_marts.fct_called_pitch,mlb,2023,non_null_pct,zone,99.9632
main_marts.fct_called_pitch,mlb,2024,non_null_pct,plate_x_mid,99.9608
main_marts.fct_called_pitch,mlb,2024,non_null_pct,plate_z_mid,99.9608
main_marts.fct_called_pitch,mlb,2024,non_null_pct,sz_top,99.9608
main_marts.fct_called_pitch,mlb,2024,non_null_pct,sz_bot,99.9608
main_marts.fct_called_pitch,mlb,2024,non_null_pct,fielder_2,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,delta_run_exp,99.9997
main_marts.fct_called_pitch,mlb,2024,non_null_pct,delta_home_win_exp,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,balls,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,strikes,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,outs_when_up,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,inning,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,inning_topbot,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,stand,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,p_throws,100.0000
main_marts.fct_called_pitch,mlb,2024,non_null_pct,zone,99.9608
main_marts.fct_called_pitch,mlb,2025,non_null_pct,plate_x_mid,99.9778
main_marts.fct_called_pitch,mlb,2025,non_null_pct,plate_z_mid,99.9778
main_marts.fct_called_pitch,mlb,2025,non_null_pct,sz_top,99.9783
main_marts.fct_called_pitch,mlb,2025,non_null_pct,sz_bot,99.9783
main_marts.fct_called_pitch,mlb,2025,non_null_pct,fielder_2,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,delta_run_exp,99.9992
main_marts.fct_called_pitch,mlb,2025,non_null_pct,delta_home_win_exp,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,balls,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,strikes,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,outs_when_up,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,inning,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,inning_topbot,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,stand,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,p_throws,100.0000
main_marts.fct_called_pitch,mlb,2025,non_null_pct,zone,99.9783
main_marts.fct_called_pitch,mlb,2026,non_null_pct,plate_x_mid,99.9453
main_marts.fct_called_pitch,mlb,2026,non_null_pct,plate_z_mid,99.9453
main_marts.fct_called_pitch,mlb,2026,non_null_pct,sz_top,99.9453
main_marts.fct_called_pitch,mlb,2026,non_null_pct,sz_bot,99.9453
main_marts.fct_called_pitch,mlb,2026,non_null_pct,fielder_2,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,delta_run_exp,99.9992
main_marts.fct_called_pitch,mlb,2026,non_null_pct,delta_home_win_exp,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,balls,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,strikes,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,outs_when_up,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,inning,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,inning_topbot,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,stand,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,p_throws,100.0000
main_marts.fct_called_pitch,mlb,2026,non_null_pct,zone,99.9453
