game_pk,level,season,official_date,n_api,n_csv,n_matched,n_api_only,n_csv_only,n_no_pitch_events,max_coord_err_ft,status
,aaa,2023,,0,0,0,0,0,0,,no_inputs
,aaa,2024,,0,0,0,0,0,0,,no_inputs
,aaa,2025,,0,0,0,0,0,0,,no_inputs
,mlb,2022,,0,0,0,0,0,0,,no_feed_pitch
,mlb,2023,,0,0,0,0,0,0,,no_feed_pitch
,mlb,2024,,0,0,0,0,0,0,,no_feed_pitch
,mlb,2025,,0,0,0,0,0,0,,no_feed_pitch
823244,mlb,2026,2026-03-25,258,258,258,0,0,0,8.881784197001252e-16,ok
823081,mlb,2026,2026-03-26,317,317,317,0,0,4,8.881784197001252e-16,ok
823163,mlb,2026,2026-03-26,296,296,296,0,0,0,8.881784197001252e-16,ok
823325,mlb,2026,2026-03-26,294,294,294,0,0,0,8.881784197001252e-16,ok
823486,mlb,2026,2026-03-26,291,291,291,0,0,0,8.881784197001252e-16,ok
823649,mlb,2026,2026-03-26,331,331,331,0,0,0,8.881784197001252e-16,ok
823812,mlb,2026,2026-03-26,346,346,346,0,0,5,8.881784197001252e-16,ok
823974,mlb,2026,2026-03-26,280,280,280,0,0,1,8.881784197001252e-16,ok
824218,mlb,2026,2026-03-26,327,327,327,0,0,4,8.881784197001252e-16,ok
824541,mlb,2026,2026-03-26,257,257,257,0,0,0,8.881784197001252e-16,ok
824704,mlb,2026,2026-03-26,320,320,320,0,0,0,8.881784197001252e-16,ok
824865,mlb,2026,2026-03-26,251,251,251,0,0,0,8.881784197001252e-16,ok
822839,mlb,2026,2026-03-27,265,265,265,0,0,0,8.881784197001252e-16,ok
823162,mlb,2026,2026-03-27,278,278,278,0,0,0,8.881784197001252e-16,ok
823243,mlb,2026,2026-03-27,276,276,276,0,0,1,8.881784197001252e-16,ok
823324,mlb,2026,2026-03-27,288,288,288,0,0,0,8.881784197001252e-16,ok
823893,mlb,2026,2026-03-27,233,233,233,0,0,0,8.881784197001252e-16,ok
