kind,game_date,n_scheduled_final,n_in_csv,missing_from_csv,extra_in_csv
day_missing,2022-06-15,15,,661327 661583 661744 661845 661972 662082 662173 662480 662504 662694 662883 662893 663155 663235 663336,
day_missing,2022-06-16,9,,661326 661743 662172 662501 662535 662827 662986 663125 663267,
day_missing,2022-06-17,16,,661093 661742 662171 662362 662437 662502 662534 662580 662719 662757 662826 662985 663063 663124 663256 663335,
day_missing,2022-06-18,16,,661123 661127 661748 662170 662194 662368 662500 662533 662686 662752 662802 662999 663062 663239 663255 663351,
day_missing,2022-06-19,15,,661074 661122 661741 662169 662361 662532 662553 662590 662751 662807 662998 663061 663218 663254 663334,
day_missing,2022-06-20,9,,661121 661143 661186 661482 661893 662221 662522 663253 663443,
day_missing,2022-06-21,15,,661124 661142 661148 661192 661198 661481 661677 661846 661890 662248 662360 662750 663041 663246 663442,
day_missing,2022-06-22,15,,661107 661141 661230 661246 661393 661457 661690 661851 661889 662245 662359 662749 663040 663252 663389,
day_missing,2022-06-23,10,,661106 661140 661183 661325 661392 661456 661685 662227 662358 663039,
day_missing,2022-06-24,15,,661139 661190 661274 661382 661455 661684 661844 661888 661971 662067 662255 662664 663054 663333 663388,
day_missing,2022-06-25,15,,661138 661264 661271 661381 661454 661686 661887 661898 661970 662083 662247 662672 663042 663346 663441,
day_missing,2022-06-26,15,,661206 661273 661380 661453 661512 661692 661847 661886 661969 662061 662254 662665 663121 663331 663387,
day_missing,2022-06-27,9,,661275 661740 661968 662168 662487 662681 662912 663016 663440,
day_missing,2022-06-28,16,,661272 661580 661728 661885 661967 662060 662186 662484 662521 662615 662911 663033 663045 663231 663344 663392,
day_missing,2022-06-29,15,,661134 661263 661584 661727 661879 662080 662151 662440 662493 662675 662894 663030 663215 663325 663396,
day_missing,2022-06-30,8,,661105 661579 661726 662150 662733 662788 662983 663199,
day_missing,2022-07-01,14,,661104 661582 661691 661725 662079 662149 662439 662492 662609 662748 662834 662997 663038 663185,
day_missing,2022-07-02,17,,661103 661581 661683 661724 661836 662101 662163 662456 662482 662718 662890 662904 662910 662954 662964 663037 663198,
day_missing,2022-07-03,15,,661102 661630 661689 661723 662099 662162 662486 662509 662684 662794 662889 662913 662957 663052 663186,
day_missing,2022-07-04,14,,661073 661181 661452 661511 662270 662355 662541 662732 662841 662874 662906 663036 663251 663343,
day_missing,2022-07-05,15,,661187 661244 661379 661426 661510 661578 662226 662329 662354 662731 662847 662905 663035 663245 663320,
day_missing,2022-07-06,14,,661225 661245 661378 661413 661509 661564 662328 662353 662630 662747 662814 663051 663244 663318,
day_missing,2022-07-07,13,,661091 661425 661521 661566 662156 662253 662508 662730 662746 663071 663140 663233 663317,
day_missing,2022-07-08,15,,661108 661136 661177 661412 661522 661843 662155 662225 662352 662498 662610 662614 663053 663202 663319,
day_missing,2022-07-09,15,,661071 661137 661224 661411 661508 661842 662147 662266 662351 662497 662663 662683 663092 663223 663310,
